year;month;day;hour;day_week;date_id
2022;3;1;11;3;447
2022;3;1;13;3;448
2022;3;1;14;3;449
2022;3;1;15;3;450
2022;3;1;16;3;451
2022;3;1;17;3;452
2022;3;1;19;3;453
2022;3;1;21;3;454
2022;3;2;1;4;455
2022;3;2;7;4;456
2022;3;2;8;4;457
2022;3;2;9;4;458
2022;3;2;10;4;459
2022;3;2;13;4;460
2022;3;2;14;4;461
2022;3;2;17;4;462
2022;3;2;19;4;463
2022;3;2;20;4;464
2022;3;3;0;5;465
2022;3;3;5;5;466
2022;3;3;6;5;467
2022;3;3;8;5;468
2022;3;3;9;5;469
2022;3;3;10;5;470
2022;3;3;12;5;471
2022;3;3;13;5;472
2022;3;3;14;5;473
2022;3;3;15;5;474
2022;3;3;16;5;475
2022;3;4;4;6;476
2022;3;4;8;6;477
2022;3;4;9;6;478
2022;3;4;11;6;479
2022;3;4;13;6;480
2022;3;4;14;6;481
2022;3;4;15;6;482
2022;3;4;16;6;483
2022;3;4;17;6;484
2022;3;6;13;1;485
2022;3;7;5;2;486
2022;3;7;6;2;487
2022;3;7;8;2;488
2022;3;7;9;2;489
2022;3;7;13;2;490
2022;3;7;14;2;491
2022;3;7;15;2;492
2022;3;7;18;2;493
2022;3;7;19;2;494
2022;3;7;21;2;495
2022;3;8;7;3;496
2022;3;8;8;3;497
2022;3;8;9;3;498
2022;3;8;11;3;499
2022;3;8;12;3;500
2022;3;8;17;3;501
2022;3;9;1;4;502
2022;3;9;2;4;503
2022;3;9;7;4;504
2022;3;9;8;4;505
2022;3;9;9;4;506
2022;3;9;10;4;507
2022;3;9;12;4;508
2022;3;9;13;4;509
2022;3;9;14;4;510
2022;3;9;15;4;511
2022;3;9;16;4;512
2022;3;9;21;4;513
2022;3;10;1;5;514
2022;3;10;2;5;515
2022;3;10;3;5;516
2022;3;10;4;5;517
2022;3;10;7;5;518
2022;3;10;8;5;519
2022;3;10;9;5;520
2022;3;10;10;5;521
2022;3;10;12;5;522
2022;3;10;13;5;523
2022;3;10;14;5;524
2022;3;10;15;5;525
2022;3;10;16;5;526
2022;3;10;21;5;527
2022;3;10;22;5;528
2022;3;11;0;6;529
2022;3;11;7;6;530
2022;3;11;8;6;531
2022;3;11;9;6;532
2022;3;11;10;6;533
2022;3;11;11;6;534
2022;3;11;16;6;535
2022;3;12;1;7;536
2022;3;12;3;7;537
2022;3;12;4;7;538
2022;3;12;6;7;539
2022;3;12;7;7;540
2022;3;13;10;1;541
2022;3;13;18;1;542
2022;3;14;7;2;543
2022;3;14;8;2;544
2022;3;14;9;2;545
2022;3;14;10;2;546
2022;3;14;11;2;547
2022;3;14;12;2;548
2022;3;14;13;2;549
2022;3;14;14;2;550
2022;3;14;16;2;551
2022;3;14;20;2;552
2022;3;15;4;3;553
2022;3;15;6;3;554
2022;3;15;7;3;555
2022;3;15;8;3;556
2022;3;15;9;3;557
2022;3;15;10;3;558
2022;3;15;12;3;559
2022;3;15;13;3;560
2022;3;15;14;3;561
2022;3;15;15;3;562
2022;3;15;16;3;563
2022;3;15;17;3;564
2022;3;15;20;3;565
2022;3;15;23;3;566
2022;3;16;1;4;567
2022;3;16;2;4;568
2022;3;16;3;4;569
2022;3;16;7;4;570
2022;3;16;8;4;571
2022;3;16;9;4;572
2022;3;16;10;4;573
2022;3;16;12;4;574
2022;3;16;13;4;575
2022;3;16;14;4;576
2022;3;16;15;4;577
2022;3;16;16;4;578
2022;3;16;20;4;579
2022;3;17;2;5;580
2022;3;17;6;5;581
2022;3;17;7;5;582
2022;3;17;8;5;583
2022;3;17;9;5;584
2022;3;17;10;5;585
2022;3;17;11;5;586
2022;3;17;12;5;587
2022;3;17;13;5;588
2022;3;17;14;5;589
2022;3;17;15;5;590
2022;3;17;16;5;591
2022;3;17;21;5;592
2022;3;18;4;6;593
2022;3;18;6;6;594
2022;3;18;8;6;595
2022;3;18;9;6;596
2022;3;18;10;6;597
2022;3;18;11;6;598
2022;3;18;12;6;599
2022;3;18;14;6;600
2022;3;18;15;6;601
2022;3;20;19;1;602
2022;3;21;5;2;603
2022;3;21;7;2;604
2022;3;21;9;2;605
2022;3;21;10;2;606
2022;3;21;11;2;607
2022;3;21;14;2;608
2022;3;21;15;2;609
2022;3;21;16;2;610
2022;3;21;20;2;611
2022;3;22;0;3;612
2022;3;22;2;3;613
2022;3;22;9;3;614
2022;3;22;10;3;615
2022;3;22;11;3;616
2022;3;22;12;3;617
2022;3;22;13;3;618
2022;3;22;14;3;619
2022;3;22;15;3;620
2022;3;22;17;3;621
2022;3;22;19;3;622
2022;3;22;20;3;623
2022;3;23;6;4;624
2022;3;23;7;4;625
2022;3;23;8;4;626
2022;3;23;9;4;627
2022;3;23;10;4;628
2022;3;23;13;4;629
2022;3;23;14;4;630
2022;3;23;15;4;631
2022;3;23;16;4;632
2022;3;23;17;4;633
2022;3;23;22;4;634
2022;3;24;0;5;635
2022;3;24;6;5;636
2022;3;24;7;5;637
2022;3;24;8;5;638
2022;3;24;9;5;639
2022;3;24;10;5;640
2022;3;24;13;5;641
2022;3;24;14;5;642
2022;3;24;15;5;643
2022;3;24;20;5;644
2022;3;25;6;6;645
2022;3;25;8;6;646
2022;3;25;9;6;647
2022;3;25;10;6;648
2022;3;25;11;6;649
2022;3;25;13;6;650
2022;3;25;14;6;651
2022;3;25;15;6;652
2022;3;25;16;6;653
2022;3;26;7;7;654
2022;3;26;8;7;655
2022;3;26;13;7;656
2022;3;28;0;2;657
2022;3;28;4;2;658
2022;3;28;5;2;659
2022;3;28;6;2;660
2022;3;28;9;2;661
2022;3;28;11;2;662
2022;3;28;14;2;663
2022;3;28;17;2;664
2022;3;29;7;3;665
2022;3;29;8;3;666
2022;3;29;10;3;667
2022;3;29;12;3;668
2022;3;29;13;3;669
2022;3;29;14;3;670
2022;3;29;15;3;671
2022;3;29;16;3;672
2022;3;29;18;3;673
2022;3;29;19;3;674
2022;3;30;5;4;675
2022;3;30;7;4;676
2022;3;30;8;4;677
2022;3;30;9;4;678
2022;3;30;10;4;679
2022;3;30;11;4;680
2022;3;30;12;4;681
2022;3;30;13;4;682
2022;3;30;14;4;683
2022;3;30;15;4;684
2022;3;30;16;4;685
2022;3;30;17;4;686
2022;3;30;18;4;687
2022;3;31;2;5;688
2022;3;31;6;5;689
2022;3;31;7;5;690
2022;3;31;8;5;691
2022;3;31;9;5;692
2022;3;31;10;5;693
2022;3;31;11;5;694
2022;3;31;13;5;695
2022;3;31;14;5;696
2022;3;31;15;5;697
2022;3;31;16;5;698
2022;4;1;1;6;699
2022;4;1;2;6;700
2022;4;1;3;6;701
2022;4;1;4;6;702
2022;4;1;5;6;703
2022;4;1;6;6;704
2022;4;1;7;6;705
2022;4;1;8;6;706
2022;4;1;9;6;707
2022;4;1;10;6;708
2022;4;1;11;6;709
2022;4;1;12;6;710
2022;4;1;13;6;711
2022;4;1;14;6;712
2022;4;1;15;6;713
2022;4;1;19;6;714
2022;4;2;6;7;715
2022;4;2;13;7;716
2022;4;3;15;1;717
2022;4;4;3;2;718
2022;4;4;5;2;719
2022;4;4;6;2;720
2022;4;4;7;2;721
2022;4;4;8;2;722
2022;4;4;9;2;723
2022;4;4;10;2;724
2022;4;4;11;2;725
2022;4;4;12;2;726
2022;4;4;13;2;727
2022;4;4;14;2;728
2022;4;4;15;2;729
2022;4;4;16;2;730
2022;4;4;20;2;731
2022;4;5;2;3;732
2022;4;5;7;3;733
2022;4;5;8;3;734
2022;4;5;9;3;735
2022;4;5;10;3;736
2022;4;5;11;3;737
2022;4;5;12;3;738
2022;4;5;13;3;739
2022;4;5;14;3;740
2022;4;5;15;3;741
2022;4;5;16;3;742
2022;4;5;18;3;743
2022;4;6;0;4;744
2022;4;6;1;4;745
2022;4;6;3;4;746
2022;4;6;4;4;747
2022;4;6;5;4;748
2022;4;6;6;4;749
2022;4;6;7;4;750
2022;4;6;8;4;751
2022;4;6;9;4;752
2022;4;6;10;4;753
2022;4;6;11;4;754
2022;4;6;12;4;755
2022;4;6;13;4;756
2022;4;6;14;4;757
2022;4;6;15;4;758
2022;4;6;16;4;759
2022;4;6;18;4;760
2022;4;6;19;4;761
2022;4;6;23;4;762
2022;4;7;0;5;763
2022;4;7;1;5;764
2022;4;7;2;5;765
2022;4;7;3;5;766
2022;4;7;4;5;767
2022;4;7;5;5;768
2022;4;7;6;5;769
2022;4;7;7;5;770
2022;4;7;8;5;771
2022;4;7;9;5;772
2022;4;7;10;5;773
2022;4;7;11;5;774
2022;4;7;12;5;775
2022;4;7;13;5;776
2022;4;7;14;5;777
2022;4;7;15;5;778
2022;4;7;16;5;779
